""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"218005"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bacteriovoracaceae"	NA	NA
"241853"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bacteriovoracaceae"	"Bacteriovorax"	NA
"568881"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophobacteraceae"	NA	NA
"136925"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"NB1-j"	"MND4"	NA	NA
"165369"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"NB1-j"	NA	NA	NA
"236118"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"NB1-j"	"NB1-i"	NA	NA
"237963"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	NA	NA	NA
"204177"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Haliangiaceae"	NA	NA
"332464"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Haliangiaceae"	NA	NA
"303295"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Haliangiaceae"	NA	NA
"76933"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Haliangiaceae"	NA	NA
"565375"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Haliangiaceae"	NA	NA
"244674"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	NA	NA	NA
"541076"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Geobacter"	NA
"10660"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Desulfuromonadaceae"	"Desulfuromusa"	NA
"261919"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	NA	NA	NA	NA
"143463"	"Bacteria"	"GOUTA4"	"RB384"	NA	NA	NA	NA
"522127"	"Bacteria"	"TG3"	"TG3-1"	"GN09"	NA	NA	NA
"258229"	"Bacteria"	"Chlorobi"	"SM1B09"	NA	NA	NA	NA
"172221"	"Bacteria"	"Chlorobi"	"BSV19"	NA	NA	NA	NA
"561793"	"Bacteria"	"Chlorobi"	"BSV19"	NA	NA	NA	NA
"548838"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	NA	NA	NA	NA
"330803"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"88682"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"148678"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"469382"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	NA
"287759"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"512157"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"279132"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"521453"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"542003"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA
"580835"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA
"35881"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"262464"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	NA
"342042"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Marinilabiaceae"	NA	NA
"70461"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	NA	NA
"583211"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"544325"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"511119"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"288119"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"552779"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"542129"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"554250"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"287763"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA
"470823"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	NA
"298533"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	NA
"245050"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	NA
"343453"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	NA
"539347"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	NA
"291739"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"361304"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA
"313166"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA
"114455"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Dysgonomonas"	NA
"1941"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"	NA
"131765"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"	NA
"522087"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	NA
"320847"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"137403"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"335530"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	NA
"233805"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"272261"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"257151"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	NA	NA	NA
"548184"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	NA	NA
"78203"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	NA	NA
"162326"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	NA	NA	NA
"183122"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Cyclobacteriaceae"	"Echinicola"	NA
"556145"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Cyclobacteriaceae"	"Algoriphagus"	NA
"82548"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Cyclobacteriaceae"	"Algoriphagus"	NA
"113510"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Flammeovirgaceae"	NA	NA
"276351"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Flammeovirgaceae"	NA	NA
"537429"	"Bacteria"	"Bacteroidetes"	NA	NA	NA	NA	NA
"342865"	"Bacteria"	"Bacteroidetes"	NA	NA	NA	"CandidatusAmoebophilus"	"CandidatusAmoebophilusasiaticus"
"550164"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Flexibacteraceae"	"Cytophaga"	NA
"269355"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Flexibacteraceae"	"Spirosoma"	NA
"588867"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Flexibacteraceae"	NA	NA
"153026"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Flexibacteraceae"	"Runella"	NA
"2538"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Saprospiraceae"	NA	NA
"262076"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Saprospiraceae"	NA	NA
"55727"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	NA	NA	NA
"306684"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	NA	NA	NA
"556276"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	NA	NA	NA
"578831"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	NA	"Niabella"	NA
"268617"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	NA	NA	NA
"236430"	"Bacteria"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	NA	NA	NA
"591182"	"Bacteria"	"SAR406"	"AB16"	"Arctic96B-7"	"A714017"	"ZA3312c"	NA
"260458"	"Bacteria"	"Thermi"	"Deinococci"	"Deinococcales"	"Deinococcaceae"	"Deinococcus"	NA
"86556"	"Bacteria"	"Thermi"	"Deinococci"	"Deinococcales"	"Deinococcaceae"	"Deinococcus"	NA
"259956"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	NA	NA	NA	NA
"112749"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	NA	NA	NA	NA
"304950"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	NA	NA	NA	NA
"3581"	"Bacteria"	"Fibrobacteres"	"Fibrobacteres"	"Fibrobacterales"	"Fibrobacteraceae"	"Fibrobacter"	"Fibrobactersuccinogenes"
"329327"	"Bacteria"	"Fibrobacteres"	"Fibrobacteres"	"Fibrobacterales"	"Fibrobacteraceae"	"Fibrobacter"	"Fibrobactersuccinogenes"
"247518"	"Bacteria"	"TM6"	"SJA-4"	NA	NA	NA	NA
"591098"	"Bacteria"	"TM6"	"SBRH58"	NA	NA	NA	NA
"535000"	"Bacteria"	"OP8"	"OP8_1"	"SHA-124"	NA	NA	NA
"73076"	"Bacteria"	"OP8"	"OP8_1"	"SHA-124"	NA	NA	NA
"538794"	"Bacteria"	"NC10"	"12-24"	"JH-WHS47"	NA	NA	NA
"546975"	"Bacteria"	"SPAM"	"0319-6G9"	NA	NA	NA	NA
"341275"	"Bacteria"	"Acidobacteria"	NA	NA	NA	NA	NA
"512598"	"Bacteria"	"Acidobacteria"	NA	NA	NA	NA	NA
"573607"	"Bacteria"	"Acidobacteria"	"Chloracidobacteria"	NA	NA	NA	NA
"113626"	"Bacteria"	"Acidobacteria"	"Chloracidobacteria"	NA	NA	NA	NA
"223948"	"Bacteria"	"Acidobacteria"	"Chloracidobacteria"	NA	NA	NA	NA
"254706"	"Bacteria"	"Acidobacteria"	"Chloracidobacteria"	NA	NA	NA	NA
"258006"	"Bacteria"	"Acidobacteria"	"Chloracidobacteria"	NA	NA	NA	NA
"111986"	"Bacteria"	"Acidobacteria"	NA	NA	NA	NA	NA
"113959"	"Bacteria"	"Acidobacteria"	NA	NA	NA	NA	NA
"280233"	"Bacteria"	"Acidobacteria"	NA	NA	NA	NA	NA
"553285"	"Bacteria"	"Acidobacteria"	NA	NA	NA	NA	NA
"238997"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"CandidatusSolibacter"	NA
"212596"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"CandidatusSolibacter"	NA
"204462"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"CandidatusSolibacter"	NA
"589802"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"CandidatusSolibacter"	NA
"272782"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"CandidatusSolibacter"	NA
"229514"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"CandidatusSolibacter"	NA
"250451"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"CandidatusSolibacter"	NA
"574961"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"CandidatusSolibacter"	NA
"139346"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"CandidatusSolibacter"	NA
"588882"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"CandidatusSolibacter"	NA
"138816"	"Bacteria"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	NA	NA	NA
"28512"	"Bacteria"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	NA	NA	NA
"279590"	"Bacteria"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	NA	NA	NA
"329074"	"Bacteria"	"Acidobacteria"	"RB25"	NA	NA	NA	NA
"581733"	"Bacteria"	"Acidobacteria"	"RB25"	NA	NA	NA	NA
"1718"	"Bacteria"	"Acidobacteria"	"iii1-8"	"DS-18"	NA	NA	NA
"582971"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Thermodesulfovibrionaceae"	"LCP-6"	NA
"508980"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Thermodesulfovibrionaceae"	"LCP-6"	NA
"63221"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Thermodesulfovibrionaceae"	"LCP-6"	NA
"577111"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Thermodesulfovibrionaceae"	"LCP-6"	NA
"136740"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospira"	NA
"144091"	"Bacteria"	"WS3"	"PRR-12"	"Sediment-1"	"PRR-10"	NA	NA
"239291"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Luteolibacter"	NA
"244496"	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"Spartobacteriales"	"Spartobacteriaceae"	"CandidatusXiphinematobacter"	NA
"206632"	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"Spartobacteriales"	"Spartobacteriaceae"	"MC18"	NA
"222914"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiasubdivision3"	NA	NA
"242989"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiasubdivision3"	NA	NA
"238929"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	NA	NA	NA
"155970"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	NA	NA	NA
"137099"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	NA	NA	NA
"533173"	"Bacteria"	"Verrucomicrobia"	"TP21"	NA	NA	NA	NA
"544430"	"Bacteria"	"Chlamydiae"	"Chlamydiae"	"Chlamydiales"	"Parachlamydiaceae"	"Parachlamydia"	"Parachlamydiaacanthamoebae"
"309328"	"Bacteria"	"Planctomycetes"	"vadinHA49"	NA	NA	NA	NA
"588740"	"Bacteria"	"Planctomycetes"	"PW285"	NA	NA	NA	NA
"200064"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	NA	NA	NA
"582509"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	NA	NA	NA
"524765"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	NA	NA	NA
"259028"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	NA	NA	NA
"533036"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	NA	NA	NA
"200049"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	NA	NA	NA
"179213"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	NA	NA	NA
"2783"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	NA	"Rhodopirellula"	NA
"352654"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	NA	"Rhodopirellula"	NA
"269075"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	NA	"Rhodopirellula"	NA
"542353"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	NA	"Rhodopirellula"	NA
"244840"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	"Pirellulaceae"	"Pirellula"	NA
"513639"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Pirellulales"	"Pirellulaceae"	"A17"	NA
"278955"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Gemmatales"	"Gemmataceae"	"Gemmata"	NA
"321885"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Gemmatales"	"Gemmataceae"	NA	NA
"567145"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Gemmatales"	"Gemmataceae"	NA	NA
"572242"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Gemmatales"	"Gemmataceae"	NA	NA
"329570"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Gemmatales"	"Gemmataceae"	NA	NA
"239490"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Gemmatales"	"Gemmataceae"	NA	NA
"213873"	"Bacteria"	"Planctomycetes"	"Planctomycea"	"Gemmatales"	"Isosphaeraceae"	NA	NA
"554003"	"Bacteria"	"Planctomycetes"	"Phycisphaerae"	NA	NA	NA	NA
"182894"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Adlercreutzia"	NA
"88335"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Solirubrobacterales"	NA	NA	NA
"89763"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Solirubrobacterales"	NA	NA	NA
"248299"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"MC47"	NA	NA	NA
"136780"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"MC47"	NA	NA	NA
"368027"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"MC47"	NA	NA	NA
"106480"	"Bacteria"	"OP9"	"JS1"	"SB-45"	NA	NA	NA
"296956"	"Bacteria"	"Armatimonadetes"	"Armatimonadia"	"Armatimonadales"	"Armatimonadaceae"	NA	NA
"319724"	"Bacteria"	"Armatimonadetes"	"Armatimonadia"	"Armatimonadales"	"WD294"	NA	NA
"254133"	"Bacteria"	"Armatimonadetes"	"5B-18"	NA	NA	NA	NA
"70379"	"Bacteria"	"TM7"	"TM7-3"	"EW055"	NA	NA	NA
"65695"	"Bacteria"	"TM7"	"TM7-1"	NA	NA	NA	NA
"534516"	"Bacteria"	"Chloroflexi"	"Thermomicrobia"	"HN1-15"	NA	NA	NA
"206278"	"Bacteria"	"Chloroflexi"	"SOGA31"	NA	NA	NA	NA
"218985"	"Bacteria"	"Chloroflexi"	"SOGA31"	NA	NA	NA	NA
"240228"	"Bacteria"	"Chloroflexi"	"Ktedonobacteria"	NA	NA	NA	NA
"261663"	"Bacteria"	"Chloroflexi"	"Bljii12"	"AKYG885"	"Dolo_23"	NA	NA
"513763"	"Bacteria"	"Chloroflexi"	"Dehalococcoidetes"	"NT-B4"	NA	NA	NA
"533078"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Caldilineales"	"Caldilineaceae"	"Caldilinea"	NA
"509572"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"SB-34"	NA	NA	NA
"521924"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"SB-34"	NA	NA	NA
"536982"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolinaceae"	"T78"	NA
"278709"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"envOPS12"	NA	NA	NA
"304270"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"S0208"	NA	NA	NA
"262115"	"Bacteria"	"SC4"	NA	NA	NA	NA	NA
"68350"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"112263"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"215890"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"ClostridialesFamilyXIII.IncertaeSedis"	"Anaerovorax"	NA
"157625"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"560842"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"ClostridialesFamilyXI.IncertaeSedis"	"Tissierella"	NA
"591496"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA
"167215"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	NA	NA
"185339"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"570930"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"289855"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"313089"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"50120"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA
"578409"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA
"69664"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"109792"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"526490"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"510817"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"538805"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"334839"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"273850"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"16072"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"183985"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"214380"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"262658"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"197095"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	NA
"296377"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"25695"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"556462"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"350731"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"590547"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"322112"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"36624"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"350732"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"193230"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"336539"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"192899"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	NA
"182728"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	NA
"535209"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"36647"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"305437"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnobacterium"	NA
"541602"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Roseburia"	NA
"329313"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Roseburia"	NA
"193343"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Roseburia"	"Eubacteriumrectale"
"333279"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Roseburia"	NA
"291764"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"192952"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"136044"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Eubacterium"	NA
"276703"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Eubacterium"	NA
"237324"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium"	NA
"326644"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium"	NA
"228762"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium"	NA
"198528"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium"	NA
"167365"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium"	NA
